id,classe,inizio,fine
9,4,0,155
9,1,89,108
9,2,115,256
9,3,141,398
9,4,204,310
9,1,426,449
9,2,453,528
9,3,493,730
9,4,575,614
9,1,613,627
9,1,678,705
9,1,753,790
9,1,799,842
9,1,855,876
9,4,882,937
9,2,982,1042
9,3,1038,1258
9,1,1162,1190
9,1,1221,1301
9,1,1342,1357
9,1,1374,1410
9,1,1490,1518
9,1,1638,1661
9,1,1684,1744
9,2,1830,1914
9,4,1895,1971
9,3,1899,2109
9,1,1966,2048
9,2,2176,2313
9,3,2294,2466
9,1,2349,2395
9,1,2467,2510
9,1,2587,2625
9,1,2676,2686
9,2,2689,2745
9,3,2720,2941
9,1,2881,2965
9,2,3039,3094
9,3,3071,3311
9,2,3438,3495
9,3,3459,3660
9,1,3583,3636
9,1,3870,3988
9,1,4025,4060
9,1,4097,4143
9,1,4168,4255
9,1,4284,4333
9,1,4346,4420
9,2,4407,4456
9,3,4419,4605
9,4,4632,4692
9,1,4667,4756
9,1,4778,4792
9,1,4814,4848
9,2,4834,4895
9,3,4849,5087
9,1,4952,4979
9,1,5009,5080
9,1,5119,5174
9,2,5200,5268
9,3,5207,5436
9,1,5411,5474
9,1,5496,5551
9,2,5541,5622
9,3,5558,5786
9,1,5911,5927
9,2,5950,6008
9,3,5953,6135
9,4,6043,6117
9,1,6103,6165
9,1,6181,6214
9,1,6228,6283
9,2,6309,6356
9,3,6317,6506
9,4,6455,6515
9,1,6480,6695
9,2,6690,6727
9,3,6691,6867
9,1,6779,6929
9,2,6941,6975
9,3,6963,7148
9,1,7136,7151
9,4,7230,7306
9,4,7324,7394
9,2,7359,7417
9,3,7369,7551
9,1,7498,7536
9,1,7601,7644
9,4,7672,7817
9,1,7712,7985
9,1,8081,8120
9,1,8191,8241
9,1,8272,8313
9,2,8309,8364
9,3,8318,8556
9,4,8385,8516
9,2,8600,8656
9,3,8615,8819
9,1,8798,8830
9,1,8875,9002
9,4,8932,9044
9,2,9345,9425
9,3,9366,9694
9,1,9512,9541
9,1,9570,9616
9,1,9665,9704
9,2,9689,9739
9,3,9712,9977
9,4,9733,9829
9,1,9874,9890
9,1,9948,10053
9,1,10085,10122
9,2,10105,10152
9,3,10109,10350
9,1,10253,10293
9,2,10364,10407
9,3,10370,10517
9,2,10528,10577
9,3,10539,10725
9,1,10654,10707
9,1,10726,10778
9,2,10846,10893
9,3,10854,11090
9,1,11101,11115
9,1,11124,11254
9,1,11289,11343
9,3,11361,11500
9,2,11362,11418
9,2,11617,11661
9,3,11624,11789
9,1,11758,11817
9,2,11805,11853
9,3,11814,12068
9,2,11939,11984
9,1,11990,12041
9,1,12049,12087
9,2,12079,12119
9,3,12088,12157
9,1,12347,12360
